/* CONJUNTOS */

set N:= 21 ;

/* PARAMETROS */

param P:= 100000.0 ;

param R:= 800.0 ;

param c1:= 1.0 ;

param c2:= 1.0 ;

param nombre_instancia := "aaa.dat" ;

param : coordx coordy flag prob_ohca:=
1 365.000000 455.000000 0 1.00
2 483.000000 447.000000 0 1.00
3 471.000000 502.000000 0 1.00
4 350.000000 498.000000 0 1.00
5 369.000000 465.000000 0 1.00
6 482.000000 438.000000 0 1.00
7 497.000000 465.000000 0 1.00
8 606.000000 411.000000 0 1.00
9 599.000000 346.000000 0 1.00
10 589.000000 306.000000 0 1.00
11 569.000000 280.000000 0 1.00
12 593.000000 370.000000 0 1.00
13 596.000000 380.000000 0 1.00
14 554.000000 226.000000 0 1.00
15 498.000000 247.000000 0 1.00
16 448.000000 249.000000 0 1.00
17 334.000000 256.000000 0 1.00
18 268.000000 271.000000 0 1.00
19 213.000000 273.000000 0 1.00
20 117.000000 258.000000 0 1.00
21 96.000000 216.000000 0 1.00
;
