/* CONJUNTOS */
set N:= 1800 ;

/* PARAMETROS */
param P:= 100.0 ;
param R:= 800.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "alcaldia_cuajimalpa.dat" ;

param : coordx coordy flag prob_ohca:=
1 470613.075229 2138056.001941 1 1.00
2 472485.015928 2140876.424674 1 1.00
3 469246.998873 2139706.986356 1 1.00
4 469003.971507 2139589.000291 1 1.00
5 467520.954732 2140292.029602 1 1.00
6 468545.856731 2140693.446823 1 1.00
7 468543.811271 2141270.509316 1 1.00
8 468075.814108 2141253.511366 1 1.00
9 468489.031090 2141474.981799 1 1.00
10 468539.052490 2141190.957549 1 1.00
11 468460.970062 2140918.995646 1 1.00
12 468049.704619 2140862.478239 1 1.00
13 472733.775138 2143789.284671 1 1.00
14 473636.873804 2143902.474878 1 1.00
15 473469.931295 2143983.495612 1 1.00
16 472986.929421 2143640.519113 1 1.00
17 473392.919855 2143667.471295 1 1.00
18 472681.318340 2143958.774371 1 1.00
19 472431.841549 2143828.470220 1 1.00
20 472731.905421 2144221.500589 1 1.00
21 472813.712818 2143808.750270 1 1.00
22 472665.996471 2143686.036297 1 1.00
23 473678.039627 2144050.026882 1 1.00
24 473216.223566 2143117.562208 1 1.00
25 473001.358332 2142867.142295 1 1.00
26 472795.594176 2142662.497451 1 1.00
27 470473.921056 2142276.537508 1 1.00
28 468406.058222 2139599.546789 1 1.00
29 468409.922098 2139284.841442 1 1.00
30 470182.837777 2139600.415654 1 1.00
31 468009.869367 2139529.422038 1 1.00
32 468135.522729 2139431.272754 1 1.00
33 470806.818515 2139798.467270 1 1.00
34 471430.836466 2139895.513642 1 1.00
35 469017.834111 2139834.516746 1 1.00
36 467781.638653 2138995.811357 1 1.00
37 468245.876316 2139532.438136 1 1.00
38 468494.457063 2139276.174302 1 1.00
39 468304.084125 2139303.947568 1 1.00
40 468507.257482 2139631.903162 1 1.00
41 468221.958478 2139548.967349 1 1.00
42 468811.076041 2139699.201716 1 1.00
43 471455.081996 2139914.216861 1 1.00
44 467830.884005 2139535.911544 1 1.00
45 468767.014205 2139277.031447 1 1.00
46 468216.012486 2139032.004474 1 1.00
47 470574.939143 2139544.422914 1 1.00
48 465805.800765 2136616.497416 1 1.00
49 471720.209683 2140854.314339 1 1.00
50 470985.897631 2140328.431140 1 1.00
51 472005.698985 2141061.657749 1 1.00
52 471670.323662 2140706.487306 1 1.00
53 470796.963400 2140854.005897 1 1.00
54 468429.898851 2139961.453127 1 1.00
55 468905.852119 2140189.463397 1 1.00
56 468485.856483 2140372.434039 1 1.00
57 468740.870404 2140502.453749 1 1.00
58 469164.852453 2140564.469193 1 1.00
59 469852.839024 2140993.423864 1 1.00
60 468804.881831 2139982.493140 1 1.00
61 468807.889076 2139715.481003 1 1.00
62 468544.856566 2140237.444970 1 1.00
63 469402.837891 2140316.423873 1 1.00
64 469186.904108 2140067.486669 1 1.00
65 468273.905158 2139584.506975 1 1.00
66 468284.848486 2140738.494427 1 1.00
67 469119.850903 2140472.481916 1 1.00
68 468438.836489 2140269.497203 1 1.00
69 468904.482219 2139941.491147 1 1.00
70 468651.815476 2140323.127164 1 1.00
71 469829.732490 2140974.588084 1 1.00
72 468101.152251 2140379.884566 1 1.00
73 469463.697494 2140434.268107 1 1.00
74 468256.964396 2140527.969234 1 1.00
75 468128.995616 2140380.028202 1 1.00
76 468726.045660 2140431.992935 1 1.00
77 468647.961336 2140523.970121 1 1.00
78 468295.995127 2140024.980287 1 1.00
79 468335.020692 2140421.052141 1 1.00
80 468753.006065 2140108.948700 1 1.00
81 468366.025212 2140253.025881 1 1.00
82 468131.033757 2140523.985040 1 1.00
83 468997.803205 2140152.542619 1 1.00
84 472062.032046 2143361.967495 1 1.00
85 472048.995839 2143352.028766 1 1.00
86 469721.223997 2142395.650144 1 1.00
87 469952.672105 2140874.856799 1 1.00
88 466454.798358 2136968.494653 1 1.00
89 469931.901983 2140792.456527 1 1.00
90 470095.851016 2140734.424536 1 1.00
91 469816.987045 2140780.032755 1 1.00
92 470201.017314 2140758.042080 1 1.00
93 471051.993104 2140943.005328 1 1.00
94 469784.546428 2142428.208406 1 1.00
95 470215.879620 2142198.505977 1 1.00
96 470069.840767 2142156.476676 1 1.00
97 470079.849713 2142494.507169 1 1.00
98 470202.895115 2141901.532926 1 1.00
99 469731.739936 2142120.632673 1 1.00
100 469893.102971 2142410.276798 1 1.00
101 470234.579690 2142459.064673 1 1.00
102 470229.043331 2142348.973350 1 1.00
103 469796.946059 2142242.021734 1 1.00
104 470078.021822 2142404.991343 1 1.00
105 470115.022331 2141916.947679 1 1.00
106 470075.976591 2142311.049736 1 1.00
107 469894.948529 2142067.025982 1 1.00
108 470688.898130 2142155.465713 1 1.00
109 470533.901288 2141899.443089 1 1.00
110 470643.243318 2141522.822379 1 1.00
111 470853.879236 2142092.459267 1 1.00
112 470352.744252 2141678.601459 1 1.00
113 470548.372862 2141822.072728 1 1.00
114 470498.847468 2141848.046140 1 1.00
115 470091.951291 2141809.209064 1 1.00
116 468961.849684 2141691.503980 1 1.00
117 469170.950031 2141310.042905 1 1.00
118 469998.908418 2140984.440183 1 1.00
119 470137.197963 2141161.811042 1 1.00
120 468834.851434 2140860.477929 1 1.00
121 468770.532186 2140284.415114 1 1.00
122 469192.860578 2140916.189410 1 1.00
123 464797.833029 2135399.461128 1 1.00
124 464850.477352 2134861.805085 1 1.00
