/* CONJUNTOS */
set N:= 1390 ;

/* PARAMETROS */
param P:= 100.0 ;
param R:= 100.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "alcaldia_milpa_alta.dat" ;

param : coordx coordy flag prob_ohca:=
1 492372.991791 2121489.956805 1 1.00
2 492552.062536 2121307.310484 1 1.00
3 492354.061512 2121222.302079 1 1.00
4 492733.067206 2121220.377511 1 1.00
5 492505.929083 2121098.975170 1 1.00
6 492406.131034 2121290.883495 1 1.00
7 492517.026580 2121242.041197 1 1.00
8 500705.516412 2124840.310498 1 1.00
9 500612.922571 2124528.494384 1 1.00
10 500636.034624 2124906.366241 1 1.00
11 500237.038194 2124140.324249 1 1.00
12 500360.016102 2124580.050733 1 1.00
13 500350.035877 2124286.052547 1 1.00
14 500333.950028 2124457.007034 1 1.00
15 500123.481427 2124174.387940 1 1.00
16 500726.036093 2124268.027595 1 1.00
17 500046.944419 2124005.833955 1 1.00
18 498677.141830 2121723.880940 1 1.00
19 497450.554819 2121519.750520 1 1.00
20 497816.019242 2121741.335390 1 1.00
21 497968.091380 2122223.309707 1 1.00
22 498168.049487 2121223.343990 1 1.00
23 498102.079102 2121739.311831 1 1.00
24 497705.291633 2121540.076465 1 1.00
25 497798.950470 2121427.976487 1 1.00
26 498394.952163 2121505.037680 1 1.00
27 497278.012394 2121377.036780 1 1.00
28 498174.949151 2121886.026428 1 1.00
29 500260.112117 2120381.318757 1 1.00
30 500296.807483 2120251.305674 1 1.00
31 500350.949554 2120487.986792 1 1.00
32 500821.971803 2120365.954995 1 1.00
33 500576.981015 2120949.956054 1 1.00
34 497459.730990 2121734.078409 1 1.00
35 496639.070357 2121097.308891 1 1.00
36 497040.963584 2121532.979426 1 1.00
37 497331.045816 2121697.028925 1 1.00
38 497495.401986 2121966.328023 1 1.00
39 497673.972850 2121622.404051 1 1.00
40 497725.435448 2122053.047702 1 1.00
41 497728.051428 2121954.347490 1 1.00
42 497573.000014 2122062.029917 1 1.00
43 497564.982197 2121851.021252 1 1.00
44 494760.242517 2123025.053731 1 1.00
45 494730.094683 2123103.292107 1 1.00
46 494440.039263 2123031.344556 1 1.00
47 494008.484143 2122956.017183 1 1.00
48 494603.981455 2122862.000656 1 1.00
49 494170.951523 2122457.042920 1 1.00
50 494885.466350 2123104.354558 1 1.00
51 494977.090772 2123332.379386 1 1.00
52 494800.999275 2122545.373428 1 1.00
53 494731.995421 2122036.291740 1 1.00
54 494800.019191 2123166.342764 1 1.00
55 494935.011709 2122841.989082 1 1.00
56 495093.982997 2123322.057220 1 1.00
57 495006.982275 2122697.017544 1 1.00
58 499376.079412 2122588.353102 1 1.00
59 499157.123024 2123029.302829 1 1.00
