/* CONJUNTOS */

set N:= 100 ;

/* PARAMETROS */

param P:= 100000.0 ;

param R:= 0.001 ;

param c1:= 1.0 ;

param c2:= 1.0 ;

param nombre_instancia := "bbb.dat" ;

param : coordx coordy flag prob_ohca:=
1 465.000000 501.000000 0 1.00
2 429.000000 507.000000 0 1.00
3 428.000000 521.000000 0 1.00
4 460.000000 526.000000 0 1.00
5 464.000000 543.000000 0 1.00
6 431.000000 555.000000 0 1.00
7 409.000000 92.000000 0 1.00
8 409.000000 81.000000 0 1.00
9 409.000000 66.000000 0 1.00
10 409.000000 58.000000 0 1.00
11 409.000000 49.000000 0 1.00
12 409.000000 47.000000 0 1.00
13 421.000000 51.000000 0 1.00
14 432.000000 70.000000 0 1.00
15 445.000000 80.000000 0 1.00
16 454.000000 94.000000 0 1.00
17 463.000000 103.000000 0 1.00
18 468.000000 81.000000 0 1.00
19 468.000000 65.000000 0 1.00
20 468.000000 52.000000 0 1.00
21 468.000000 41.000000 0 1.00
22 22.000000 231.000000 0 1.00
23 34.000000 231.000000 0 1.00
24 56.000000 227.000000 0 1.00
25 65.000000 227.000000 0 1.00
26 77.000000 226.000000 0 1.00
27 78.000000 244.000000 0 1.00
28 78.000000 262.000000 0 1.00
29 78.000000 288.000000 0 1.00
30 78.000000 301.000000 0 1.00
31 58.000000 310.000000 0 1.00
32 48.000000 310.000000 0 1.00
33 39.000000 310.000000 0 1.00
34 33.000000 311.000000 0 1.00
35 26.000000 311.000000 0 1.00
36 26.000000 311.000000 0 1.00
37 20.000000 301.000000 0 1.00
38 20.000000 295.000000 0 1.00
39 20.000000 290.000000 0 1.00
40 20.000000 277.000000 0 1.00
41 20.000000 266.000000 0 1.00
42 20.000000 260.000000 0 1.00
43 20.000000 246.000000 0 1.00
44 20.000000 239.000000 0 1.00
45 867.000000 197.000000 0 1.00
46 855.000000 200.000000 0 1.00
47 851.000000 198.000000 0 1.00
48 850.000000 198.000000 0 1.00
49 848.000000 198.000000 0 1.00
50 836.000000 199.000000 0 1.00
51 826.000000 201.000000 0 1.00
52 821.000000 201.000000 0 1.00
53 812.000000 207.000000 0 1.00
54 812.000000 215.000000 0 1.00
55 812.000000 221.000000 0 1.00
56 812.000000 232.000000 0 1.00
57 812.000000 249.000000 0 1.00
58 809.000000 263.000000 0 1.00
59 807.000000 276.000000 0 1.00
60 805.000000 292.000000 0 1.00
61 805.000000 296.000000 0 1.00
62 815.000000 297.000000 0 1.00
63 818.000000 297.000000 0 1.00
64 822.000000 297.000000 0 1.00
65 833.000000 297.000000 0 1.00
66 839.000000 297.000000 0 1.00
67 855.000000 294.000000 0 1.00
68 868.000000 294.000000 0 1.00
69 875.000000 294.000000 0 1.00
70 898.000000 294.000000 0 1.00
71 820.000000 246.000000 0 1.00
72 822.000000 246.000000 0 1.00
73 831.000000 246.000000 0 1.00
74 838.000000 246.000000 0 1.00
75 848.000000 246.000000 0 1.00
76 858.000000 246.000000 0 1.00
77 869.000000 246.000000 0 1.00
78 878.000000 246.000000 0 1.00
79 885.000000 246.000000 0 1.00
80 885.000000 246.000000 0 1.00
81 442.000000 271.000000 0 1.00
82 444.000000 268.000000 0 1.00
83 444.000000 261.000000 0 1.00
84 444.000000 255.000000 0 1.00
85 444.000000 250.000000 0 1.00
86 444.000000 242.000000 0 1.00
87 444.000000 240.000000 0 1.00
88 440.000000 271.000000 0 1.00
89 428.000000 271.000000 0 1.00
90 423.000000 271.000000 0 1.00
91 416.000000 271.000000 0 1.00
92 408.000000 273.000000 0 1.00
93 448.000000 286.000000 0 1.00
94 448.000000 297.000000 0 1.00
95 448.000000 304.000000 0 1.00
96 447.000000 311.000000 0 1.00
97 454.000000 276.000000 0 1.00
98 464.000000 274.000000 0 1.00
99 478.000000 274.000000 0 1.00
100 489.000000 274.000000 0 1.00
;
