/* CONJUNTOS */

set N:= 15 ;

/* PARAMETROS */

param P:= 100000.0 ;

param R:= 800.0 ;

param c1:= 1.0 ;

param c2:= 1.0 ;

param nombre_instancia := "ccc.dat" ;

param : coordx coordy flag prob_ohca:=
1 379.000000 529.000000 0 1.00
2 382.000000 502.000000 0 1.00
3 430.000000 470.000000 0 1.00
4 538.000000 517.000000 0 1.00
5 578.000000 525.000000 0 1.00
6 649.000000 485.000000 0 1.00
7 816.000000 129.000000 0 1.00
8 798.000000 122.000000 0 1.00
9 759.000000 78.000000 0 1.00
10 670.000000 64.000000 0 1.00
11 203.000000 80.000000 0 1.00
12 97.000000 110.000000 0 1.00
13 69.000000 183.000000 0 1.00
14 34.000000 258.000000 0 1.00
15 28.000000 341.000000 0 1.00
;
