/* CONJUNTOS */

set N:= 10 ;

/* PARAMETROS */

param P:= 100000.0 ;

param R:= 800.0 ;

param c1:= 1.0 ;

param c2:= 1.0 ;

param nombre_instancia := "eee.dat" ;

param : coordx coordy flag prob_ohca:=
1 443.000000 565.000000 0 1.00
2 856.000000 379.000000 0 1.00
3 847.000000 295.000000 0 1.00
4 687.000000 42.000000 0 1.00
5 486.000000 30.000000 0 1.00
6 288.000000 36.000000 0 1.00
7 8.000000 183.000000 0 1.00
8 24.000000 244.000000 0 1.00
9 23.000000 324.000000 0 1.00
10 23.000000 399.000000 0 1.00
;
