/* CONJUNTOS */

set N:= 53 ;

/* PARAMETROS */

param P:= 100000.0 ;

param R:= 0.001 ;

param c1:= 1.0 ;

param c2:= 1.0 ;

param nombre_instancia := "ggg.dat" ;

param : coordx coordy flag prob_ohca:=
1 344.000000 131.000000 0 1.00
2 429.000000 139.000000 0 1.00
3 455.000000 158.000000 0 1.00
4 387.000000 167.000000 0 1.00
5 351.000000 99.000000 0 1.00
6 452.000000 95.000000 0 1.00
7 465.000000 109.000000 0 1.00
8 417.000000 145.000000 0 1.00
9 587.000000 237.000000 0 1.00
10 573.000000 287.000000 0 1.00
11 555.000000 349.000000 0 1.00
12 597.000000 238.000000 0 1.00
13 619.000000 171.000000 0 1.00
14 619.000000 171.000000 0 1.00
15 603.000000 262.000000 0 1.00
16 591.000000 290.000000 0 1.00
17 520.000000 378.000000 0 1.00
18 483.000000 363.000000 0 1.00
19 459.000000 355.000000 0 1.00
20 459.000000 355.000000 0 1.00
21 376.000000 346.000000 0 1.00
22 360.000000 339.000000 0 1.00
23 349.000000 337.000000 0 1.00
24 329.000000 329.000000 0 1.00
25 313.000000 326.000000 0 1.00
26 305.000000 325.000000 0 1.00
27 277.000000 318.000000 0 1.00
28 268.000000 315.000000 0 1.00
29 259.000000 315.000000 0 1.00
30 109.000000 342.000000 0 1.00
31 97.000000 374.000000 0 1.00
32 87.000000 411.000000 0 1.00
33 163.000000 463.000000 0 1.00
34 196.000000 470.000000 0 1.00
35 241.000000 471.000000 0 1.00
36 265.000000 478.000000 0 1.00
37 287.000000 481.000000 0 1.00
38 312.000000 489.000000 0 1.00
39 335.000000 493.000000 0 1.00
40 164.000000 425.000000 0 1.00
41 231.000000 429.000000 0 1.00
42 309.000000 438.000000 0 1.00
43 343.000000 441.000000 0 1.00
44 221.000000 378.000000 0 1.00
45 293.000000 395.000000 0 1.00
46 321.000000 390.000000 0 1.00
47 340.000000 390.000000 0 1.00
48 353.000000 506.000000 0 1.00
49 401.000000 507.000000 0 1.00
50 460.000000 517.000000 0 1.00
51 485.000000 517.000000 0 1.00
52 509.000000 521.000000 0 1.00
53 517.000000 525.000000 0 1.00
;
