/* CONJUNTOS */

set N:= 16 ;

/* PARAMETROS */

param P:= 100000.0 ;

param R:= 800.0 ;

param c1:= 1.0 ;

param c2:= 1.0 ;

param nombre_instancia := "version_1.dat" ;

param : coordx coordy flag prob_ohca:=
1 290.000000 144.000000 0 1.00
2 385.000000 144.000000 0 1.00
3 334.000000 100.000000 0 1.00
4 451.000000 96.000000 0 1.00
5 595.000000 173.000000 0 1.00
6 565.000000 254.000000 0 1.00
7 564.000000 304.000000 0 1.00
8 589.000000 390.000000 0 1.00
9 505.000000 356.000000 0 1.00
10 376.000000 349.000000 0 1.00
11 294.000000 328.000000 0 1.00
12 220.000000 386.000000 0 1.00
13 310.000000 419.000000 0 1.00
14 225.000000 440.000000 0 1.00
15 139.000000 366.000000 0 1.00
16 126.000000 405.000000 0 1.00
;
