/* CONJUNTOS */
set N:= 7256 ;

/* PARAMETROS */
param P:= 100000.0 ;
param R:= 200.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "alcaldia_tlahuac.dat" ;

param : coordx coordy flag prob_ohca:=
1 503266.590918 2124090.417675 1 1.00
2 503165.535741 2123986.385293 1 1.00
3 502975.163181 2124079.108209 1 1.00
4 502931.777147 2124131.671182 1 1.00
5 503006.942808 2124152.056315 1 1.00
6 503082.821204 2124071.316324 1 1.00
7 503404.410284 2123907.179295 1 1.00
8 503483.604293 2123950.556948 1 1.00
9 503299.302832 2123533.260537 1 1.00
10 502651.334037 2124029.767039 1 1.00
11 502645.509234 2123936.940540 1 1.00
12 500436.112699 2133633.395497 1 1.00
13 494396.518418 2132967.798919 1 1.00
14 494611.080546 2132671.409982 1 1.00
15 494213.025144 2132816.374599 1 1.00
16 494193.052022 2133113.369143 1 1.00
17 494480.026415 2132903.595660 1 1.00
18 494275.014326 2133149.968804 1 1.00
19 498012.101388 2134422.443287 1 1.00
20 497928.807449 2134245.881638 1 1.00
21 504401.054453 2136569.413486 1 1.00
22 504109.273592 2136174.392849 1 1.00
23 504052.119850 2136096.813216 1 1.00
24 503878.508156 2135850.863176 1 1.00
25 504235.384775 2136721.905333 1 1.00
26 504287.108178 2136416.093833 1 1.00
27 503930.975490 2136193.958711 1 1.00
28 500424.036970 2133357.984016 1 1.00
29 496186.579666 2135225.732113 1 1.00
30 496121.008042 2135138.441895 1 1.00
31 496051.022398 2135045.952254 1 1.00
32 495324.630431 2135264.661161 1 1.00
33 495297.623368 2135231.693950 1 1.00
34 496417.043385 2135112.046149 1 1.00
35 496638.998115 2134984.975855 1 1.00
36 493649.035745 2133144.975629 1 1.00
37 493530.284184 2133222.514311 1 1.00
38 493640.990426 2133273.002075 1 1.00
39 493939.061418 2133284.408223 1 1.00
40 493952.009376 2133043.405250 1 1.00
41 494128.958603 2133427.971533 1 1.00
42 494109.993232 2133585.987852 1 1.00
43 493988.289870 2132187.505413 1 1.00
44 493696.002867 2132546.446254 1 1.00
45 493545.057912 2132951.372290 1 1.00
46 493250.300284 2132891.855712 1 1.00
47 493574.262569 2132642.866057 1 1.00
48 492995.569711 2132618.084249 1 1.00
49 493239.572087 2132036.726516 1 1.00
50 494197.992967 2132462.405863 1 1.00
51 494052.946871 2132949.982292 1 1.00
52 493723.046641 2132666.050983 1 1.00
53 493668.958433 2132425.956367 1 1.00
54 493674.970156 2133097.054567 1 1.00
55 493667.951029 2132852.960130 1 1.00
56 493637.962345 2132724.946987 1 1.00
57 493833.999329 2132980.041578 1 1.00
58 493757.968840 2132782.001571 1 1.00
59 493872.986670 2132691.007155 1 1.00
60 493558.976788 2132796.012884 1 1.00
61 493419.017442 2132767.957450 1 1.00
62 493886.996213 2132797.006414 1 1.00
63 493870.033953 2132033.960860 1 1.00
64 499811.037906 2127794.335872 1 1.00
65 498677.056532 2132162.329530 1 1.00
66 498939.123419 2132521.375603 1 1.00
67 498935.103654 2132056.419436 1 1.00
68 498821.115526 2132274.409317 1 1.00
