/* CONJUNTOS */
param N_total:= 13567 ;

/* PARAMETROS */
param P:= 6252.0 ;
param R:= 100.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "drp_13567_NEW_YORK_CITY.dat" ;

param : coordx coordy flag prob_ohca:=
1 587629.163362 4514855.208525 1 0.0000
2 588489.768052 4515626.541538 1 0.0000
3 585619.224450 4507467.315466 1 0.0000
4 592471.200294 4525394.493178 1 0.0000
5 585052.447738 4506020.419211 1 0.0000
6 586803.928877 4502546.349797 1 0.0000
7 589279.045542 4520968.356130 1 0.0000
8 586616.870612 4512741.034793 1 0.0000
9 586888.672263 4498737.627150 1 0.0000
10 592589.795184 4518847.388990 1 0.0000
11 588365.641742 4495360.983740 1 0.0000
12 586206.169479 4508052.676594 1 0.0000
13 585837.756763 4512359.778045 1 0.0000
14 583417.926918 4506205.065408 1 0.0000
15 594099.274754 4502937.073010 1 0.0000
16 590702.551271 4501962.634895 1 0.0000
17 593276.408154 4522182.627442 1 0.0000
18 595690.633572 4524069.685635 1 0.0000
19 586604.486723 4512490.710327 1 0.0000
20 587820.292135 4514314.967358 1 0.0000
21 590755.367059 4524288.825255 1 0.0000
22 596065.641461 4519032.080248 1 0.0000
23 591738.976152 4518847.438128 1 0.0000
24 584237.091503 4507645.080912 1 0.0000
25 583158.723724 4506489.165888 1 0.0000
26 602448.295755 4500423.386296 1 0.0000
27 585453.493146 4512199.378763 1 0.0000
28 596929.076873 4507783.735571 1 0.0000
29 602933.279140 4514134.853609 1 0.0000
30 586115.214964 4515019.874681 1 0.0000
31 587518.250916 4513544.213647 1 0.0000
32 586515.817002 4515484.583431 1 0.0000
33 585713.821077 4511308.880139 1 0.0000
34 603228.593433 4511616.482484 1 0.0000
35 592691.264303 4520290.857448 1 0.0000
36 588431.150871 4514085.458134 1 0.0000
37 584659.106934 4511741.157408 1 0.0000
38 584671.924980 4511391.779761 1 0.0000
39 601360.854044 4507087.834248 1 0.0000
40 582969.070750 4506632.971266 1 0.0000
41 585474.696490 4511755.934607 1 0.0000
42 592751.414897 4501090.017087 1 0.0000
43 588950.590896 4517625.045624 1 0.0000
44 598398.190966 4506016.520598 1 0.0000
45 586069.561522 4509960.547901 1 0.0000
46 605841.782221 4495298.408699 1 0.0000
47 605067.888865 4495017.200913 1 0.0000
48 585796.149103 4512695.115269 1 0.0000
49 596294.211307 4512505.092451 1 0.0000
50 589210.411754 4515871.229239 1 0.0000
51 586947.093492 4512937.386760 1 0.0000
52 585796.149103 4512695.115269 1 0.0000
53 591394.456064 4517927.173601 1 0.0000
54 584416.814265 4504679.397492 1 0.0000
55 603178.225447 4514863.232480 1 0.0000
56 586667.168866 4512418.594863 1 0.0000
57 586042.120998 4512342.603670 1 0.0000
58 585441.199084 4514347.576871 1 0.0000
59 590564.639124 4519425.836629 1 0.0000
60 571358.965972 4493748.630778 1 0.0000
61 595469.173688 4512221.130680 1 0.0000
62 594976.919267 4519985.071459 1 0.0000
63 586001.244920 4511838.116350 1 0.0000
64 590626.222401 4518167.685761 1 0.0000
65 587367.408139 4514186.084964 1 0.0000
66 593589.084467 4523889.975702 1 0.0000
67 585872.996141 4511700.746306 1 0.0000
68 589779.061617 4505406.545356 1 0.0000
69 592562.822951 4519101.535817 1 0.0000
70 589811.183098 4517595.853992 1 0.0000
71 589470.956270 4517207.707337 1 0.0000
72 600709.630140 4503360.807085 1 0.0000
73 597371.452746 4522878.447611 1 0.0000
74 585650.136277 4513661.879233 1 0.0000
75 584162.160356 4507454.993230 1 0.0000
76 599630.564163 4507354.918329 1 0.0000
77 595702.316059 4511523.503171 1 0.0000
78 594171.028462 4523338.341157 1 0.0000
79 586667.168866 4512418.594863 1 0.0000
80 586071.816283 4504810.370313 1 0.0000
81 590208.019228 4504343.956971 1 0.0000
82 590479.146837 4505395.920334 1 0.0000
83 584877.096547 4511785.083884 1 0.0000
84 586524.663100 4511499.736057 1 0.0000
85 586749.834926 4512571.597111 1 0.0000
86 590355.345804 4517924.467102 1 0.0000
87 585937.815757 4511066.429835 1 0.0000
88 578279.969553 4498976.771271 1 0.0000
89 589890.826745 4494177.072153 1 0.0000
90 589814.414900 4522708.093573 1 0.0000
91 593589.084623 4523889.976131 1 0.0000
92 601922.822105 4510675.519273 1 0.0000
93 587823.093746 4507273.304053 1 0.0000
94 605075.525264 4502671.099457 1 0.0000
95 586236.250744 4512528.262669 1 0.0000
96 583424.634627 4507141.564176 1 0.0000
97 588400.288503 4508421.084855 1 0.0000
98 597976.738697 4519746.236207 1 0.0000
99 584856.916024 4508848.497538 1 0.0000
100 600826.104495 4506974.791851 1 0.0000
101 595532.614511 4522989.415015 1 0.0000
102 607091.416700 4508516.089686 1 0.0000
103 588381.401318 4496978.341815 1 0.0000
104 590114.737522 4522533.861871 1 0.0000
105 594080.712218 4511747.304412 1 0.0000
106 591102.425494 4518897.467595 1 0.0000
107 586543.433363 4512981.544106 1 0.0000
108 587454.952267 4518080.627780 1 0.0000
109 586104.478756 4514999.335980 1 0.0000
110 585644.180206 4512633.656357 1 0.0000
111 570687.429350 4496984.682542 1 0.0000
112 590220.600253 4503720.013641 1 0.0000
113 589225.947443 4520787.958010 1 0.0000
114 582994.894357 4497505.556594 1 0.0000
115 585791.186433 4513665.315263 1 0.0000
116 589589.276163 4523396.964507 1 0.0000
117 598744.073345 4503844.335958 1 0.0000
118 590858.126053 4503261.636681 1 0.0000
119 587770.801651 4513229.562061 1 0.0000
120 585752.289393 4512318.884455 1 0.0000
121 585562.305299 4512839.024988 1 0.0000
122 586081.011303 4512646.861818 1 0.0000
123 590483.220560 4520739.528560 1 0.0000
124 586286.259050 4510572.777452 1 0.0000
125 590932.263504 4518079.755237 1 0.0000
126 585427.707601 4505231.486425 1 0.0000
127 597275.876563 4501858.458892 1 0.0000
128 584089.404461 4512210.345486 1 0.0000
129 585910.154614 4512905.762966 1 0.0000
130 588547.369526 4498570.288269 1 0.0000
131 583869.021147 4507400.766013 1 0.0000
132 589054.137110 4518806.150407 1 0.0000
133 588401.431479 4498568.020930 1 0.0000
134 591153.243557 4521414.846030 1 0.0000
135 587887.785151 4515211.034979 1 0.0000
136 586089.534570 4512005.809684 1 0.0000
137 592260.632344 4499307.865912 1 0.0000
138 589443.420093 4518500.068352 1 0.0000
139 584056.058036 4508584.015768 1 0.0000
140 592338.951247 4522564.428531 1 0.0000
141 598493.790821 4512987.852993 1 0.0000
142 591840.241864 4526101.893707 1 0.0000
143 598209.895380 4504512.643815 1 0.0000
144 596294.211307 4512505.092451 1 0.0000
145 588721.517479 4514944.756815 1 0.0000
146 585441.199084 4514347.576871 1 0.0000
147 586333.213948 4514929.417200 1 0.0000
148 596654.680569 4526938.224355 1 0.0000
149 591321.708934 4496146.615289 1 0.0000
150 586622.562354 4512990.368516 1 0.0000
151 591844.922794 4503147.307363 1 0.0000
152 589967.640128 4516488.716004 1 0.0000
153 585758.243764 4512785.796760 1 0.0000
154 585837.756763 4512359.778045 1 0.0000
155 593159.677234 4499541.140568 1 0.0000
156 586152.115186 4504636.065904 1 0.0000
157 589683.283016 4500725.126256 1 0.0000
158 593589.084467 4523889.975702 1 0.0000
159 597392.259916 4504301.005840 1 0.0000
160 596627.730852 4502982.874861 1 0.0000
161 588964.605250 4515273.285306 1 0.0000
162 588963.708057 4515271.751269 1 0.0000
163 585796.149103 4512695.115269 1 0.0000
164 592426.365782 4523502.792493 1 0.0000
165 589828.951464 4518389.275720 1 0.0000
166 586012.090255 4508665.407011 1 0.0000
167 588947.554192 4511394.168779 1 0.0000
168 583422.580960 4506518.986532 1 0.0000
169 588098.712573 4515072.653828 1 0.0000
170 584303.933400 4496303.370410 1 0.0000
171 602629.175679 4513864.743306 1 0.0000
172 586019.219130 4514084.784564 1 0.0000
173 590145.580053 4492512.200487 1 0.0000
174 594083.111050 4501624.410985 1 0.0000
175 586478.782160 4516514.454005 1 0.0000
176 600065.362764 4504357.899069 1 0.0000
177 584128.185910 4497556.832882 1 0.0000
178 591878.409093 4502775.003269 1 0.0000
179 590939.589045 4524755.040338 1 0.0000
180 585452.289750 4513936.013496 1 0.0000
