/* CONJUNTOS */
param N_total:= 2151 ;

/* PARAMETROS */
param P:= 1123.0 ;
param R:= 100.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "drp_2151_BRONX.dat" ;

param : coordx coordy flag prob_ohca:=
1 592471.200294 4525394.493178 1 0.0000
2 592589.795184 4518847.388990 1 0.0000
3 593276.408154 4522182.627442 1 0.0000
4 595690.633572 4524069.685635 1 0.0000
5 596065.641461 4519032.080248 1 0.0000
6 591738.976152 4518847.438128 1 0.0000
7 592691.264303 4520290.857448 1 0.0000
8 591394.456064 4517927.173601 1 0.0000
9 590564.639124 4519425.836629 1 0.0000
10 594976.919267 4519985.071459 1 0.0000
11 590626.222401 4518167.685761 1 0.0000
12 593589.084467 4523889.975702 1 0.0000
13 592562.822951 4519101.535817 1 0.0000
14 597371.452746 4522878.447611 1 0.0000
15 594171.028462 4523338.341157 1 0.0000
16 590355.345804 4517924.467102 1 0.0000
17 593589.084623 4523889.976131 1 0.0000
18 597976.738697 4519746.236207 1 0.0000
19 595532.614511 4522989.415015 1 0.0000
20 591102.425494 4518897.467595 1 0.0000
21 590483.220560 4520739.528560 1 0.0000
22 590932.263504 4518079.755237 1 0.0000
23 591153.243557 4521414.846030 1 0.0000
24 592338.951247 4522564.428531 1 0.0000
25 591840.241864 4526101.893707 1 0.0000
26 596654.680569 4526938.224355 1 0.0000
27 593589.084467 4523889.975702 1 0.0000
28 592426.365782 4523502.792493 1 0.0000
29 593908.382336 4522934.614697 1 0.0000
30 597371.452746 4522878.447611 1 0.0000
31 593751.418125 4519410.988724 1 0.0000
32 590932.263504 4518079.755237 1 0.0000
33 596457.094864 4519658.512982 1 0.0000
34 596520.818274 4524970.521084 1 0.0000
35 591090.823907 4519139.903615 1 0.0000
36 591274.593281 4521222.115408 1 0.0000
37 591603.128049 4523195.364408 1 0.0000
38 593696.905746 4523814.717326 1 0.0000
39 591277.001637 4518232.701961 1 0.0000
40 594765.758860 4525217.130179 1 0.0000
41 593789.049151 4522282.945847 1 0.0000
42 591847.304570 4525937.111659 1 0.0000
43 594106.576847 4524446.237374 1 0.0000
44 595772.899556 4523216.444116 1 0.0000
45 590807.313542 4520004.247413 1 0.0000
46 592566.653583 4524827.860410 1 0.0000
47 598259.095475 4525633.975807 1 0.0000
48 590568.918716 4521481.314488 1 0.0000
49 598258.032358 4525433.445695 1 0.0000
50 592937.020663 4519093.726524 1 0.0000
51 593871.990006 4518752.002058 1 0.0000
52 590215.253326 4518905.632982 1 0.0000
53 591218.734762 4521791.026546 1 0.0000
54 592023.091400 4518651.381416 1 0.0000
55 591540.744433 4520223.489555 1 0.0000
56 591089.546915 4520694.336888 1 0.0000
57 593516.954349 4526550.721444 1 0.0000
58 593442.000616 4523987.640889 1 0.0000
59 594629.211577 4520546.391062 1 0.0000
60 592694.837164 4523769.757918 1 0.0000
61 597371.452746 4522878.447611 1 0.0000
62 592517.717507 4520571.367116 1 0.0000
63 593624.071915 4520957.594360 1 0.0000
64 593307.713882 4522510.271468 1 0.0000
65 591888.292577 4523655.112489 1 0.0000
66 593589.084467 4523889.975702 1 0.0000
67 593496.561865 4524653.807724 1 0.0000
68 597150.248106 4524210.374675 1 0.0000
69 597754.560047 4526211.182943 1 0.0000
70 593386.862317 4523905.951634 1 0.0000
71 591367.447427 4522618.553960 1 0.0000
72 593817.257920 4522775.111849 1 0.0000
73 595909.407707 4527408.152067 1 0.0000
74 593812.567121 4522118.046804 1 0.0000
75 593546.199804 4521132.233901 1 0.0000
76 593589.084467 4523889.975702 1 0.0000
77 591920.549504 4517542.199076 1 0.0000
78 592130.165904 4525824.542746 1 0.0000
79 596451.573130 4519207.438877 1 0.0000
80 595691.702442 4522908.036463 1 0.0000
81 591920.355270 4522554.775201 1 0.0000
82 591958.593866 4519229.946243 1 0.0000
83 591110.023671 4519994.596181 1 0.0000
84 590751.108651 4519588.558318 1 0.0000
85 594725.185316 4526101.624077 1 0.0000
86 592143.594303 4524034.679311 1 0.0000
87 590294.240089 4520369.559272 1 0.0000
88 590281.289247 4519154.134639 1 0.0000
89 593293.404483 4522215.427551 1 0.0000
90 595973.067816 4526156.708989 1 0.0000
91 591263.673019 4520149.326237 1 0.0000
92 599574.824150 4518807.880266 1 0.0000
93 592043.512131 4519265.654553 1 0.0000
94 596817.821297 4525087.579414 1 0.0000
95 591497.811898 4517869.234079 1 0.0000
96 597019.677585 4525664.317153 1 0.0000
97 593857.521666 4518631.162099 1 0.0000
98 591390.164804 4518891.302558 1 0.0000
99 593005.631745 4522437.952947 1 0.0000
100 590354.471108 4520325.450135 1 0.0000
101 593142.035424 4524423.951020 1 0.0000
102 592921.983673 4521756.828928 1 0.0000
103 598631.523030 4524349.481734 1 0.0000
104 591376.668712 4521837.319615 1 0.0000
105 593001.188086 4524776.141439 1 0.0000
106 590994.957490 4517819.618865 1 0.0000
107 593787.588382 4523665.822912 1 0.0000
108 590637.771965 4518624.612561 1 0.0000
109 592854.063848 4519750.285385 1 0.0000
110 598258.032358 4525433.445695 1 0.0000
111 590688.280643 4521809.960633 1 0.0000
112 591421.228032 4518946.509026 1 0.0000
113 595399.418393 4521389.242848 1 0.0000
114 591580.690270 4522037.420700 1 0.0000
