/* CONJUNTOS */
param N_total:= 2885 ;

/* PARAMETROS */
param P:= 1694.0 ;
param R:= 250.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "drp_2885_QUEENS.dat" ;

param : coordx coordy flag prob_ohca:=
1 602448.295755 4500423.386296 1 0.0000
2 596929.076873 4507783.735571 1 0.0000
3 602933.279140 4514134.853609 1 0.0000
4 603228.593433 4511616.482484 1 0.0000
5 601360.854044 4507087.834248 1 0.0000
6 598398.190966 4506016.520598 1 0.0000
7 605841.782221 4495298.408699 1 0.0000
8 605067.888865 4495017.200913 1 0.0000
9 596294.211307 4512505.092451 1 0.0000
10 603178.225447 4514863.232480 1 0.0000
11 595469.173688 4512221.130680 1 0.0000
12 600709.630140 4503360.807085 1 0.0000
13 599630.564163 4507354.918329 1 0.0000
14 595702.316059 4511523.503171 1 0.0000
15 601922.822105 4510675.519273 1 0.0000
16 605075.525264 4502671.099457 1 0.0000
17 600826.104495 4506974.791851 1 0.0000
18 607091.416700 4508516.089686 1 0.0000
19 594080.712218 4511747.304412 1 0.0000
20 598744.073345 4503844.335958 1 0.0000
21 597275.876563 4501858.458892 1 0.0000
22 598493.790821 4512987.852993 1 0.0000
23 598209.895380 4504512.643815 1 0.0000
24 596294.211307 4512505.092451 1 0.0000
25 597392.259916 4504301.005840 1 0.0000
26 596627.730852 4502982.874861 1 0.0000
27 588947.554192 4511394.168779 1 0.0000
28 602629.175679 4513864.743306 1 0.0000
29 600065.362764 4504357.899069 1 0.0000
30 593180.518345 4512497.364303 1 0.0000
31 593942.717537 4512117.508308 1 0.0000
32 608999.790411 4510064.859051 1 0.0000
33 592704.040846 4506703.843350 1 0.0000
34 594192.526115 4510196.870886 1 0.0000
35 600639.999189 4506538.119714 1 0.0000
36 596289.829608 4512729.327559 1 0.0000
37 593806.332512 4511516.847799 1 0.0000
38 601319.106402 4512364.829732 1 0.0000
39 599517.353099 4509940.241326 1 0.0000
40 597684.587262 4508447.206045 1 0.0000
41 595517.867244 4513698.433233 1 0.0000
42 600801.782108 4508229.426266 1 0.0000
43 590875.257989 4513483.122339 1 0.0000
44 605800.360748 4495914.728117 1 0.0000
45 589826.945375 4511533.391176 1 0.0000
46 600479.321072 4508849.862544 1 0.0000
47 601362.190605 4504825.474882 1 0.0000
48 605967.835114 4505968.472905 1 0.0000
49 593180.518345 4512497.364303 1 0.0000
50 591595.132835 4514116.636841 1 0.0000
51 596572.656967 4507344.519585 1 0.0000
52 596979.026643 4510142.956366 1 0.0000
53 596463.418051 4512070.026941 1 0.0000
54 587669.969388 4510310.929042 1 0.0000
55 599637.037516 4493473.404566 1 0.0000
56 597615.662894 4514823.038100 1 0.0000
57 604517.053424 4496027.254115 1 0.0000
58 595007.964373 4510627.905299 1 0.0000
59 590826.887620 4513957.344692 1 0.0000
60 604065.568718 4504660.854808 1 0.0000
61 591273.980139 4510582.042171 1 0.0000
62 607091.416700 4508516.089686 1 0.0000
63 591906.530776 4514628.174714 1 0.0000
64 589698.302524 4511698.004181 1 0.0000
65 602630.660773 4514644.287811 1 0.0000
66 603814.735058 4512516.045039 1 0.0000
67 604970.546924 4510379.851783 1 0.0000
68 601536.699413 4507113.603385 1 0.0000
69 592502.175979 4510464.076672 1 0.0000
70 605279.572046 4510217.587579 1 0.0000
71 601729.743515 4513341.929268 1 0.0000
72 604059.154345 4511202.343027 1 0.0000
73 599584.378422 4511869.690716 1 0.0000
74 597330.281637 4505866.028569 1 0.0000
75 602823.979395 4503461.010982 1 0.0000
76 598039.120330 4504550.317743 1 0.0000
77 596958.923887 4492571.507443 1 0.0000
78 598036.324130 4503670.212004 1 0.0000
79 602103.784325 4506902.162943 1 0.0000
80 592597.762545 4507875.853148 1 0.0000
81 595343.887495 4507378.384827 1 0.0000
82 598340.896318 4504837.456605 1 0.0000
83 593112.707756 4505978.659785 1 0.0000
84 599389.058433 4511011.458526 1 0.0000
85 599554.059747 4512766.190177 1 0.0000
