/* CONJUNTOS */
param N_total:= 3442 ;

/* PARAMETROS */
param P:= 2043.0 ;
param R:= 100.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "drp_3442_BROOKLYN.dat" ;

param : coordx coordy flag prob_ohca:=
1 585052.447738 4506020.419211 1 0.0000
2 586803.928877 4502546.349797 1 0.0000
3 586888.672263 4498737.627150 1 0.0000
4 588365.641742 4495360.983740 1 0.0000
5 594099.274754 4502937.073010 1 0.0000
6 590702.551271 4501962.634895 1 0.0000
7 592751.414897 4501090.017087 1 0.0000
8 584416.814265 4504679.397492 1 0.0000
9 589779.061617 4505406.545356 1 0.0000
10 586071.816283 4504810.370313 1 0.0000
11 590208.019228 4504343.956971 1 0.0000
12 590479.146837 4505395.920334 1 0.0000
13 589890.826745 4494177.072153 1 0.0000
14 587823.093746 4507273.304053 1 0.0000
15 588400.288503 4508421.084855 1 0.0000
16 588381.401318 4496978.341815 1 0.0000
17 590220.600253 4503720.013641 1 0.0000
18 582994.894357 4497505.556594 1 0.0000
19 590858.126053 4503261.636681 1 0.0000
20 585427.707601 4505231.486425 1 0.0000
21 588547.369526 4498570.288269 1 0.0000
22 588401.431479 4498568.020930 1 0.0000
23 592260.632344 4499307.865912 1 0.0000
24 591321.708934 4496146.615289 1 0.0000
25 591844.922794 4503147.307363 1 0.0000
26 593159.677234 4499541.140568 1 0.0000
27 586152.115186 4504636.065904 1 0.0000
28 589683.283016 4500725.126256 1 0.0000
29 584303.933400 4496303.370410 1 0.0000
30 590145.580053 4492512.200487 1 0.0000
31 594083.111050 4501624.410985 1 0.0000
32 584128.185910 4497556.832882 1 0.0000
33 591878.409093 4502775.003269 1 0.0000
34 584391.148897 4503721.352532 1 0.0000
35 586178.508049 4499850.335662 1 0.0000
36 588050.266694 4500401.835943 1 0.0000
37 586688.249289 4492103.331068 1 0.0000
38 588440.580819 4500700.335097 1 0.0000
39 591127.499828 4500313.395629 1 0.0000
40 585917.380312 4504430.142186 1 0.0000
41 585733.398703 4495658.970495 1 0.0000
42 582404.124967 4497256.587688 1 0.0000
43 587500.129842 4507991.834874 1 0.0000
44 591423.253267 4502872.523379 1 0.0000
45 583930.778702 4500741.695686 1 0.0000
46 582540.977568 4498540.414928 1 0.0000
47 585968.043458 4504316.141589 1 0.0000
48 585233.756562 4505056.804073 1 0.0000
49 585676.439387 4496542.022418 1 0.0000
50 585456.865750 4504918.558838 1 0.0000
51 584808.819422 4503864.755506 1 0.0000
52 588703.415785 4493818.948917 1 0.0000
53 585244.039100 4505090.440416 1 0.0000
54 594600.862656 4500201.712985 1 0.0000
55 585568.118000 4505157.207346 1 0.0000
56 585413.137051 4504851.630779 1 0.0000
57 586549.740147 4501237.401910 1 0.0000
58 592281.800693 4502405.989637 1 0.0000
59 587086.933660 4505446.916777 1 0.0000
60 594918.278238 4504100.099331 1 0.0000
61 590740.694921 4504182.413609 1 0.0000
62 588435.974638 4506383.462163 1 0.0000
63 594303.546792 4503973.656143 1 0.0000
64 585075.910029 4495381.516874 1 0.0000
65 586598.171094 4505739.683419 1 0.0000
66 593099.218423 4500007.909776 1 0.0000
67 588536.205778 4500276.632392 1 0.0000
68 587143.622049 4504026.616666 1 0.0000
69 591442.671901 4502531.445600 1 0.0000
70 595972.915821 4502656.072800 1 0.0000
71 588770.567524 4497270.728874 1 0.0000
