/* CONJUNTOS */
param N_total:= 4432 ;

/* PARAMETROS */
param P:= 1085.0 ;
param R:= 100.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "drp_4432_MANHATTAN.dat" ;

param : coordx coordy flag prob_ohca:=
1 587629.163362 4514855.208525 1 0.0000
2 588489.768052 4515626.541538 1 0.0000
3 585619.224450 4507467.315466 1 0.0000
4 589279.045542 4520968.356130 1 0.0000
5 586616.870612 4512741.034793 1 0.0000
6 586206.169479 4508052.676594 1 0.0000
7 585837.756763 4512359.778045 1 0.0000
8 583417.926918 4506205.065408 1 0.0000
9 586604.486723 4512490.710327 1 0.0000
10 587820.292135 4514314.967358 1 0.0000
11 590755.367059 4524288.825255 1 0.0000
12 584237.091503 4507645.080912 1 0.0000
13 583158.723724 4506489.165888 1 0.0000
14 585453.493146 4512199.378763 1 0.0000
15 586115.214964 4515019.874681 1 0.0000
16 587518.250916 4513544.213647 1 0.0000
17 586515.817002 4515484.583431 1 0.0000
18 585713.821077 4511308.880139 1 0.0000
19 588431.150871 4514085.458134 1 0.0000
20 584659.106934 4511741.157408 1 0.0000
21 584671.924980 4511391.779761 1 0.0000
22 582969.070750 4506632.971266 1 0.0000
23 585474.696490 4511755.934607 1 0.0000
24 588950.590896 4517625.045624 1 0.0000
25 586069.561522 4509960.547901 1 0.0000
26 585796.149103 4512695.115269 1 0.0000
27 589210.411754 4515871.229239 1 0.0000
28 586947.093492 4512937.386760 1 0.0000
29 585796.149103 4512695.115269 1 0.0000
30 586667.168866 4512418.594863 1 0.0000
31 586042.120998 4512342.603670 1 0.0000
32 585441.199084 4514347.576871 1 0.0000
33 586001.244920 4511838.116350 1 0.0000
34 587367.408139 4514186.084964 1 0.0000
35 585872.996141 4511700.746306 1 0.0000
36 589811.183098 4517595.853992 1 0.0000
37 589470.956270 4517207.707337 1 0.0000
38 585650.136277 4513661.879233 1 0.0000
39 584162.160356 4507454.993230 1 0.0000
40 586667.168866 4512418.594863 1 0.0000
41 584877.096547 4511785.083884 1 0.0000
42 586524.663100 4511499.736057 1 0.0000
43 586749.834926 4512571.597111 1 0.0000
44 585937.815757 4511066.429835 1 0.0000
45 589814.414900 4522708.093573 1 0.0000
46 586236.250744 4512528.262669 1 0.0000
47 583424.634627 4507141.564176 1 0.0000
48 584856.916024 4508848.497538 1 0.0000
49 590114.737522 4522533.861871 1 0.0000
50 586543.433363 4512981.544106 1 0.0000
51 587454.952267 4518080.627780 1 0.0000
52 586104.478756 4514999.335980 1 0.0000
53 585644.180206 4512633.656357 1 0.0000
54 589225.947443 4520787.958010 1 0.0000
55 585791.186433 4513665.315263 1 0.0000
56 589589.276163 4523396.964507 1 0.0000
57 587770.801651 4513229.562061 1 0.0000
58 585752.289393 4512318.884455 1 0.0000
59 585562.305299 4512839.024988 1 0.0000
60 586081.011303 4512646.861818 1 0.0000
61 586286.259050 4510572.777452 1 0.0000
62 584089.404461 4512210.345486 1 0.0000
63 585910.154614 4512905.762966 1 0.0000
64 583869.021147 4507400.766013 1 0.0000
65 589054.137110 4518806.150407 1 0.0000
66 587887.785151 4515211.034979 1 0.0000
67 586089.534570 4512005.809684 1 0.0000
68 589443.420093 4518500.068352 1 0.0000
69 584056.058036 4508584.015768 1 0.0000
70 588721.517479 4514944.756815 1 0.0000
71 585441.199084 4514347.576871 1 0.0000
72 586333.213948 4514929.417200 1 0.0000
73 586622.562354 4512990.368516 1 0.0000
74 589967.640128 4516488.716004 1 0.0000
75 585758.243764 4512785.796760 1 0.0000
76 585837.756763 4512359.778045 1 0.0000
77 588964.605250 4515273.285306 1 0.0000
78 588963.708057 4515271.751269 1 0.0000
79 585796.149103 4512695.115269 1 0.0000
80 589828.951464 4518389.275720 1 0.0000
81 586012.090255 4508665.407011 1 0.0000
82 583422.580960 4506518.986532 1 0.0000
83 588098.712573 4515072.653828 1 0.0000
84 586019.219130 4514084.784564 1 0.0000
85 586478.782160 4516514.454005 1 0.0000
86 590939.589045 4524755.040338 1 0.0000
87 585452.289750 4513936.013496 1 0.0000
88 588976.834308 4520400.238045 1 0.0000
89 586729.874038 4512692.041739 1 0.0000
90 583332.490303 4506696.834676 1 0.0000
91 583455.218572 4506944.450525 1 0.0000
92 588639.856676 4516922.142836 1 0.0000
93 586752.015181 4511925.594956 1 0.0000
94 585915.544398 4512513.029254 1 0.0000
95 585870.800250 4512829.437141 1 0.0000
96 585791.186433 4513665.315263 1 0.0000
97 587215.236613 4511842.501042 1 0.0000
98 586202.770403 4511561.890121 1 0.0000
99 585562.305299 4512839.024988 1 0.0000
100 583489.984131 4506781.512847 1 0.0000
101 585866.313036 4511591.881505 1 0.0000
102 586615.189791 4516524.236811 1 0.0000
103 586563.915793 4512226.962546 1 0.0000
104 585252.586730 4512260.777144 1 0.0000
