/* CONJUNTOS */
param N_total:= 657 ;

/* PARAMETROS */
param P:= 307.0 ;
param R:= 100.0 ;
param c1:= 1.0 ;
param c2:= 0.2 ;
param nombre_instancia := "drp_657_STATEN_ISLAND.dat" ;

param : coordx coordy flag prob_ohca:=
1 571358.965972 4493748.630778 1 0.0000
2 578279.969553 4498976.771271 1 0.0000
3 570687.429350 4496984.682542 1 0.0000
4 572365.630976 4498204.971304 1 0.0000
5 568804.497545 4486919.622293 1 0.0000
6 571338.512318 4498224.668712 1 0.0000
7 578210.084438 4498503.659028 1 0.0000
8 578053.100318 4499526.343720 1 0.0000
9 576396.906576 4499395.973084 1 0.0000
10 568434.190638 4486685.661805 1 0.0000
11 576957.569751 4494333.658999 1 0.0000
12 571880.855505 4490701.024259 1 0.0000
13 575939.364114 4495713.120259 1 0.0000
14 570557.896760 4493612.453823 1 0.0000
15 577964.484571 4499387.296888 1 0.0000
16 571164.162565 4493917.360013 1 0.0000
17 571164.162565 4493917.360013 1 0.0000
18 572930.591923 4495069.773051 1 0.0000
19 568486.438706 4493747.646015 1 0.0000
20 567920.973289 4488489.199316 1 0.0000
21 570815.137639 4487656.714209 1 0.0000
22 571210.300797 4492620.106120 1 0.0000
23 578398.787469 4499621.692106 1 0.0000
24 578679.840679 4496236.705005 1 0.0000
25 577228.152604 4498380.658335 1 0.0000
26 577801.075697 4499099.610675 1 0.0000
27 574624.377082 4498778.251443 1 0.0000
28 571984.448221 4489441.906876 1 0.0000
29 576957.569751 4494333.658999 1 0.0000
30 574106.679619 4490469.752479 1 0.0000
31 574779.715401 4496239.586960 1 0.0000
32 574106.131469 4494378.028626 1 0.0000
33 577557.715639 4496035.326174 1 0.0000
34 576957.569751 4494333.658999 1 0.0000
35 577139.729023 4492837.737713 1 0.0000
36 569310.969188 4495329.959401 1 0.0000
37 577586.099052 4497451.678963 1 0.0000
38 578191.834654 4499465.149640 1 0.0000
39 576292.904841 4498520.245906 1 0.0000
40 574625.468150 4498789.539360 1 0.0000
41 576957.569751 4494333.658999 1 0.0000
42 572420.501716 4493944.142161 1 0.0000
43 575939.364114 4495713.120259 1 0.0000
44 576344.797729 4493688.919711 1 0.0000
45 576112.623250 4492159.039139 1 0.0000
46 570927.841525 4495646.366111 1 0.0000
47 569369.246301 4495028.650346 1 0.0000
48 570931.349039 4492819.873504 1 0.0000
49 566812.574406 4485850.304924 1 0.0000
50 569289.347758 4488523.342034 1 0.0000
51 577684.561474 4499725.399568 1 0.0000
52 578021.898181 4499751.176646 1 0.0000
53 569243.089834 4488357.358276 1 0.0000
54 574882.824246 4491163.877255 1 0.0000
55 575527.439359 4491339.101724 1 0.0000
56 568954.565592 4486209.219164 1 0.0000
57 577917.753979 4498539.642890 1 0.0000
58 578684.243793 4494508.996856 1 0.0000
59 577793.634412 4499137.616071 1 0.0000
60 577797.946540 4494068.660279 1 0.0000
61 573929.542636 4498410.169468 1 0.0000
62 577793.634412 4499137.616071 1 0.0000
63 572805.103934 4493484.130118 1 0.0000
64 573322.323580 4498777.757482 1 0.0000
65 577496.243403 4500073.685311 1 0.0000
66 570690.953322 4495844.783095 1 0.0000
67 571056.065307 4495866.001771 1 0.0000
68 578026.796927 4498624.072809 1 0.0000
69 571819.680398 4498811.848302 1 0.0000
70 575939.364114 4495713.120259 1 0.0000
71 572115.766749 4498043.980788 1 0.0000
72 570880.278517 4495809.457698 1 0.0000
73 568434.190638 4486685.661805 1 0.0000
74 570815.137639 4487656.714209 1 0.0000
75 577897.549911 4499512.080238 1 0.0000
76 578157.221238 4499266.687005 1 0.0000
77 572327.234754 4488719.365792 1 0.0000
78 577684.561474 4499725.399568 1 0.0000
79 565141.190520 4484729.482193 1 0.0000
80 570320.103288 4489415.372111 1 0.0000
81 578167.927257 4494358.996795 1 0.0000
82 571625.548817 4495681.118951 1 0.0000
83 575939.364114 4495713.120259 1 0.0000
84 571494.132791 4490141.745275 1 0.0000
85 572930.591923 4495069.773051 1 0.0000
86 574672.713529 4497850.935814 1 0.0000
87 571210.300797 4492620.106120 1 0.0000
88 571338.512318 4498224.668712 1 0.0000
89 571358.965972 4493748.630778 1 0.0000
90 574625.468150 4498789.539360 1 0.0000
91 568434.190638 4486685.661805 1 0.0000
92 576957.569751 4494333.658999 1 0.0000
93 575939.364114 4495713.120259 1 0.0000
94 573365.368182 4496762.238520 1 0.0000
95 576183.062561 4491940.138746 1 0.0000
96 574976.145822 4492497.460381 1 0.0000
97 577571.163856 4492037.271463 1 0.0000
98 574839.219279 4499366.060247 1 0.0000
99 571992.666083 4498525.554864 1 0.0000
100 577825.008351 4499486.877084 1 0.0000
101 576885.048616 4495137.594557 1 0.0000
