"Entity_Name","Address","Floor","Borough","State","Zip","AED_NumPersonTrained","AED_NumAeds","Latitude","Longitude","Community_District","Council_District","Census_Tract_2010","NTA_Code","BBL","BIN","Location Point","Location Type","Last Updated"
"Marymount School","1026 Fifth Ave","Nurse Office","Manhattan","New York","10028","40","1","40.78000933","-73.96150877","108","4","6000","MN40","1014950072","1046797","POINT (-73.96150877 40.78000933)","School","06/20/2024"
"Marymount School","115 E 97th St.","Gym","Manhattan","New York","10029","40","1","40.78686455","-73.95120209","111","12","15802","MN33","1016250007","1089351","POINT (-73.95120209 40.78686455)","School","06/20/2024"
"Orchard Collegiate Academy","220 Henry Street","hallway","Manhattan","New York","10002","1","1","40.71367683","-73.98633592","103","1","201","MN28","1002690041","1003223","POINT (-73.98633592 40.71367683)","School",
"P.S. 360 Bronx","2880 Kingsbridge Terrace","3rd Floor, Room 325","Bronx","New York","10463","9","1","40.87440453","-73.90257169","208","14","27300","BX28","2032530341","2103864","POINT (-73.90257169 40.87440453)","Public Schools",
"P.S. 008 Robert Fulton","37 Hicks Street","Main Entrance","Brooklyn","New York","11201","7","1","40.70070292","-73.99324142","302","33","100","BK09","3002110001","3001540","POINT (-73.99324142 40.70070292)","Public Schools",
"Poly Prep","50 PROSPECT PARK WEST","2nd Floor Hallway","Brooklyn","New York","11215","17","1","40.66922835","-73.97299292","306","39","16500","BK37","3010770032","3025256","POINT (-73.97299292 40.66922835)","School",
"P.S. 004 Duke Ellington","500 West 160 Street","Near 3rd floor elevator","Manhattan","New York","10032","10","1","40.83489285","-73.94108423","112","10","24500","MN36","1021180022","1062792","POINT (-73.94108423 40.83489285)","Public Schools",
"Boston Properties","540 MADISON AVENUE","N/A","Manhattan","New York","10022","6","2","40.76107398","-73.97379662","105","4","10200","MN17","1012900056","1035759","POINT (-73.97379662 40.76107398)","Businesses & Commercial Spaces",
"Senior Citizens League of Flatbush","550 Ocean Parkway","Room 6","Brooklyn","New York","11218","2","1","40.634913","-73.97251687","312","40","48400","BK41","3053990032","3127188","POINT (-73.97251687 40.634913)","Senior Centers",
"M.S. 302 Luisa Dessus Cruz","681 Kelly Street","main entrance","Bronx","New York","10455","10","1","40.81542252","-73.90213814","202","17","8300","BX33","2026860020","2005133","POINT (-73.90213814 40.81542252)","Public Schools",
"P.S. 255 Barbara Reing School","1866 East 17 Street","Outside Gym 3rd Floor","Brooklyn","New York","11229","13","1","40.60434174","-73.95552789","315","48","55800","BK44","3068210123","3184034","POINT (-73.95552789 40.60434174)","Public Schools",
"New Explorations into Science, Technology and Math High School","111 Columbia Street","Outside Room 313","Manhattan","New York","10002","21","1","40.7188881","-73.97930747","103","2","2201","MN28","1003350001","1004070","POINT (-73.97930747 40.7188881)","School",
"Jacqueline Kennedy Onassis High School","120 West 46 Street","Outside Rm 209","Manhattan","New York","10036","8","1","40.75772163","-73.98307821","105","4","11900","MN17","1009980041","1069583","POINT (-73.98307821 40.75772163)","School",
"Morgan Stanley - 1 NY Plaza","1 NEW YORK PLAZA","FL 38","Manhattan","New York","10004","5","1","40.70253319","-74.01256178","101","1","900","MN25","1000047501","1000005","POINT (-74.01256178 40.70253319)","Businesses & Commercial Spaces",
"Passages Academy - Belmont","619 Belmont Avenue","Main Entrance","Brooklyn","New York","11207","10","1","40.67194769","-73.88663554","305","42","115000","BK82","3040130023","3089149","POINT (-73.88663554 40.67194769)","School",
"P.S. 398 Walter Weaver","60 East 94 Street","Main Entrance By School Safety","Brooklyn","New York","11212","7","1","40.66355127","-73.92695879","317","41","88200","BK96","3045950015","3323072","POINT (-73.92695879 40.66355127)","Public Schools",
