Entity_Name,Borough,borough_geom,borough_code,State,Latitude,Longitude,AED_NumAeds,Location Type,is_mislabeled
Marymount School,Manhattan,MANHATTAN,1.0,New York,40.78000933,-73.96150877,1.0,School,False
Marymount School,Manhattan,MANHATTAN,1.0,New York,40.78686455,-73.95120209,1.0,School,False
Orchard Collegiate Academy,Manhattan,MANHATTAN,1.0,New York,40.71367683,-73.98633592,1.0,School,False
P.S. 360 Bronx,Bronx,BRONX,2.0,New York,40.87440453,-73.90257169,1.0,Public Schools,False
P.S. 008 Robert Fulton,Brooklyn,BROOKLYN,3.0,New York,40.70070292,-73.99324142,1.0,Public Schools,False
Poly Prep,Brooklyn,BROOKLYN,3.0,New York,40.66922835,-73.97299292,1.0,School,False
P.S. 004 Duke Ellington,Manhattan,MANHATTAN,1.0,New York,40.83489285,-73.94108423,1.0,Public Schools,False
Boston Properties,Manhattan,MANHATTAN,1.0,New York,40.76107398,-73.97379662,2.0,Businesses & Commercial Spaces,False
Senior Citizens League of Flatbush,Brooklyn,BROOKLYN,3.0,New York,40.634913,-73.97251687,1.0,Senior Centers,False
M.S. 302 Luisa Dessus Cruz,Bronx,BRONX,2.0,New York,40.81542252,-73.90213814,1.0,Public Schools,False
P.S. 255 Barbara Reing School,Brooklyn,BROOKLYN,3.0,New York,40.60434174,-73.95552789,1.0,Public Schools,False
"New Explorations into Science, Technology and Math High School",Manhattan,MANHATTAN,1.0,New York,40.7188881,-73.97930747,1.0,School,False
Jacqueline Kennedy Onassis High School,Manhattan,MANHATTAN,1.0,New York,40.75772163,-73.98307821,1.0,School,False
Morgan Stanley - 1 NY Plaza,Manhattan,MANHATTAN,1.0,New York,40.70253319,-74.01256178,1.0,Businesses & Commercial Spaces,False
Passages Academy - Belmont,Brooklyn,BROOKLYN,3.0,New York,40.67194769,-73.88663554,1.0,School,False
P.S. 398 Walter Weaver,Brooklyn,BROOKLYN,3.0,New York,40.66355127,-73.92695879,1.0,Public Schools,False
Zeta Charter School - Tremont Park,Bronx,BRONX,2.0,New York,40.84538467,-73.89349891,1.0,School,False
Bronx Green Middle School,Bronx,BRONX,2.0,New York,40.8621026,-73.86457504,1.0,School,False
Morgan Stanley - E52,Manhattan,MANHATTAN,1.0,New York,40.75882057,-73.97397799,1.0,Businesses & Commercial Spaces,False
136 East 79th Street Corp.,Manhattan,MANHATTAN,1.0,New York,40.77512292,-73.95932001,1.0,Businesses & Commercial Spaces,False
The Equity Project Charter School - Middle,Manhattan,MANHATTAN,1.0,New York,40.86463788,-73.92309274,1.0,School,False
P.S. 069 Journey Prep School,Bronx,BRONX,2.0,New York,40.81668649,-73.86090327,1.0,Public Schools,False
University Prep Charter High School,Bronx,BRONX,2.0,New York,40.81551851,-73.91222478,1.0,School,False
Department of Citywide Administrative Services,Manhattan,MANHATTAN,1.0,New York,40.71542054,-74.00267301,1.0,Government Buildings & Services,False
District 2 Pre-K Center at 2-26 Washington St (M391),Manhattan,MANHATTAN,1.0,New York,40.70511839,-74.01559192,1.0,Public Schools,False
JFK INTERNATIONAL AIRPORT,Queens,QUEENS,4.0,New York,40.64831283,-73.7882815,28.0,Ferries & Other Transportation,False
New Amsterdam Theater,Manhattan,MANHATTAN,1.0,New York,40.7563169,-73.98765183,1.0,Performance Venues,False
P.S. 144 Col Jeromus Remsen,Queens,QUEENS,4.0,New York,40.71527346,-73.85241132,1.0,Public Schools,False
Bayside High School,Queens,QUEENS,4.0,New York,40.77174691,-73.78029496,1.0,School,False
"Soulcycle, Inc",Manhattan,MANHATTAN,1.0,New York,40.78165256,-73.9794251,1.0,Health Clubs & Gyms,False
69th Tenants Corp,Manhattan,MANHATTAN,1.0,New York,40.76821287,-73.96300662,5.0,Businesses & Commercial Spaces,False
The Global Learning Collaborative,Manhattan,MANHATTAN,1.0,New York,40.78579617,-73.9746138,1.0,Public Schools,False
"The Empire State Building Company, LLC",Manhattan,MANHATTAN,1.0,New York,40.7482689007,-73.98469027358,1.0,Businesses & Commercial Spaces,False
P.S. 162 John Golden,Queens,QUEENS,4.0,New York,40.74902802,-73.77721218,1.0,Public Schools,False
Urban Scholars Community School,Bronx,BRONX,2.0,New York,40.82841218,-73.90072055,1.0,School,False
"Jack Resnick & Sons, Inc.",Manhattan,MANHATTAN,1.0,New York,40.77299021,-73.9521149,1.0,Businesses & Commercial Spaces,False
Brookfield Properties - New York - One Manhattan,Manhattan,MANHATTAN,1.0,New York,40.75227175,-73.99712339,8.0,Businesses & Commercial Spaces,False
"Mutual Redevelopment Houses, Inc",Manhattan,MANHATTAN,1.0,New York,40.7491235,-73.99701886,1.0,Businesses & Commercial Spaces,False
Philips Returns AED,Manhattan,QUEENS,4.0,New York,40.70847218,-73.80006469,1.0,Businesses & Commercial Spaces,True
Battery Park City School,Manhattan,MANHATTAN,1.0,New York,40.70643282,-74.01781763,1.0,School,False
