id stv,calle,esquina / entre calles,alcaldia,cve_col,colonia,latitud,longitud,__alc
12752,CACALOAC,MOXELOTLE,,,,19.313114,-99.290495,NONE
4589,CULTURA GRIEGA,MERCADERES,,,,19.5126719,-99.19652464,NONE
13009,CJON CULTURA GRIEGA,ENTRE CULTURA GRIEGA Y AV. DE LAS CIVILIZACIONES,,,,19.51198507,-99.19452104,NONE
13192,CALLE LA GALICIA,CAMINO A SANTIAGO YANCUITLALPAN,,,,19.37703181,-99.30157281,NONE
13197,CARR MEXICO TOLUCA,CAMINO AL CHINACO,,,,19.29704152,-99.34838996,NONE
11381,AV INSURGENTES NORTE,FRANCISCO J MACIN,,,,19.51116,-99.103379,NONE
2149,AV LA VENTISCA,BLVD TEMOLUCO,,,,19.52799702,-99.15700781,NONE
6937,(HEDRON) EL MIRADOR,PLAN SAGITARIO,,,,19.54645989,-99.12236522,NONE
7793,AV NORTE,SIETE,,,,19.40923441,-99.05726062,NONE
11408,ANILLO PERIFERICO (CALLE 7),ENTRE AV PUEBLA Y PRIV DEL VALLE,,,,19.40137519,-99.05811219,NONE
15250,AV TEXCOCO,AV REPUBLICA FEDERAL DEL NORTE,,,,19.378224,-99.010075,NONE
13383,CARR PICACHO AJUSCO,PARQUE EJIDAL SAN NICOLAS TOTOLAPAN,,,,19.25365499,-99.24479446,NONE
13384,EMILIO CARRANZA,ARCO DE ACCESO A 1ER DINAMO,,,,19.2875492,-99.26420612,NONE
13884,AV INDUSTRIA MILITAR,AV FUENTE DE TECAMACHALCO,,,,19.43122802,-99.22655692,NONE
16431,CAMINO AL TLALTENAMIC,ENTRE VICENTE GUERRERO Y PARAJE CHICHILECA,,,,19.169393,-99.068136,NONE
16433,CARR FEDERAL MEXICO OAXTEPEC,CAMINO A SANTA ANA TLACOTENCO,,,,19.143936,-98.971843,NONE
16442,CARR FEDERAL MEXICO OAXTEPEC,MIRADOR SANTA ANA,,,,19.162049,-98.990613,NONE
16681,AV CUAUHTEMOC,PROL NIÑOS HEROES,,,,19.186733,-99.051297,NONE
7458,MAR DE LA FECUNDIDAD,CIRCO ARSAQUEL,,,,19.283769,-98.990653,NONE
16527,CIRCO ARSAQUEL,MAR DE LAS LLUVIAS,,,,19.288492,-98.989854,NONE
3655,PASEO DE LAS BUGAMBILIAS,FFCC DE CUERNAVACA,,,,19.262426,-99.20779,NONE
13374,OYAMEL,ESPERANZA,,,,19.25709159,-99.18565282,NONE
15159,PASEO GIRASOL,PASEO DE LAS BUGAMBILIAS,,,,19.263787,-99.204486,NONE
12739,CIRCUITO SOLIDARIDAD,ENTRE MISPEROS Y BOSQUE ZONA ECOLOGICA,,,,19.262869,-99.232177,NONE
14852,CARRET FED A CUERNAVACA (KM 36),ENTRE TORDILLO DE MENDOZA Y MIGUEL HIDALGO,,,,19.15682099,-99.16234389,NONE
15148,CARR PICACHO AJUSCO,ENTRADA A PARQUE DE AVENTURAS GOTCHAMANIA,,,,19.26321891,-99.2403117,NONE
15149,CARR PICACHO AJUSCO,ENTRADA A EL PARQUE TEPOZAN,,,,19.25796401,-99.2404495,NONE
15162,CARR MEXICO CUERNAVACA (KM 37),"ENTRE MIGUEL HIDALGO Y CICLOPISTA FFCC DE
CUERNAVACA",,,,19.151293,-99.16491,NONE
15163,CARR MEXICO CUERNAVACA (KM 45),ENTRE CAMINO EL CAPULIN Y LAURELES,,,,19.09972811,-99.20885702,NONE
15164,CARR MEXICO CUERNAVACA,ENTRE CAMINO A LA CIMA II Y CAMINO EL CAPULIN,,,,19.10581895,-99.19778626,NONE
15167,CARR MEXICO CUERNAVACA,ENTRE CICLOPISTA FFCC DE CUERNAVACA Y LAURELES,,,,19.12336914,-99.18392924,NONE
15178,ANTIGUO CAMINO A CUERNAVACA,PRIV TLAYELPA,,,,19.18944087,-99.15017892,NONE
16902,CARR FED A CUERNAVACA,ENTRE SAN MIGUEL Y MIGUEL HIDALGO,,,,19.16236475,-99.16145939,NONE
16887,CARR A OAXTEPEC,ENTRE LA HERRADURA Y TEXAXAHUALLI,,,,19.236311,-99.05412,NONE
16899,CARR LIBRE MEXICO CUERNAVACA,ENTRE CALVARIO Y HUITZILTEPEC,,,,19.220353,-99.149148,NONE
