Instance                          Nd(AMPL)      AgNd(MOEA/D)    $y_{ref1}$    $y_{ref2}$                Hv(AMPL)            AgHv(MOEA/D)       GapHv       Time[s](AMPL)   AgTime[s](MOEA/D)     GapTime
MILPA_ALTA                              34    $\mathbf{125}$       -178.60        124.12                5,023.18     $\mathbf{5,133.81}$      -2.20%    $\mathbf{14.19}$               74.33    -423.91%
CUAJIMALPA_DE_MORELOS                   37    $\mathbf{104}$       -254.91        104.10                4,197.42     $\mathbf{4,233.58}$      -0.86%    $\mathbf{19.71}$               87.49    -343.81%
LA_MAGDALENA_CONTRERAS                  22     $\mathbf{56}$       -523.55         55.05                2,178.27     $\mathbf{2,209.08}$      -1.41%    $\mathbf{36.00}$              169.65    -371.30%
TLAHUAC                                 35    $\mathbf{137}$     -1,195.76        145.14    $\mathbf{15,898.14}$               15,724.43      +1.09%   $\mathbf{100.65}$              378.64    -276.19%
XOCHIMILCO                              49    $\mathbf{310}$     -1,098.75        376.38   $\mathbf{105,909.17}$              102,851.65      +2.89%   $\mathbf{133.54}$              401.58    -200.71%
AZCAPOTZALCO                            19     $\mathbf{57}$     -1,796.96         56.06                3,032.38     $\mathbf{3,079.79}$      -1.56%   $\mathbf{173.77}$              512.71    -195.06%
IZTACALCO                                9     $\mathbf{16}$     -2,037.50         15.01                  494.19       $\mathbf{516.97}$      -4.61%   $\mathbf{306.75}$              609.58     -98.72%
TLALPAN                                 47    $\mathbf{316}$     -1,773.72        459.46   $\mathbf{142,153.40}$              138,190.48      +2.79%   $\mathbf{194.00}$              618.38    -218.75%
BENITO_JUAREZ                            7     $\mathbf{10}$     -2,296.56          9.01                  239.79       $\mathbf{244.45}$      -1.94%   $\mathbf{305.73}$              621.65    -103.34%
COYOACAN                                31    $\mathbf{131}$     -2,341.45        136.14    $\mathbf{21,948.60}$               21,777.45      +0.78%   $\mathbf{261.75}$              643.81    -145.96%
MIGUEL_HIDALGO                          27     $\mathbf{65}$     -2,654.80         66.07                3,964.48     $\mathbf{4,008.24}$      -1.10%   $\mathbf{645.82}$              843.78     -30.65%
VENUSTIANO_CARRANZA                     16     $\mathbf{31}$     -2,668.24         30.03                1,508.67     $\mathbf{1,554.50}$      -3.04%   $\mathbf{585.34}$              843.14     -44.04%
ALVARO_OBREGON                          40    $\mathbf{224}$     -2,839.70        246.25    $\mathbf{59,093.09}$               58,624.53      +0.79%   $\mathbf{513.35}$              868.44     -69.17%
CUAUHTEMOC                               5      $\mathbf{6}$     -4,283.19          5.00                  223.03       $\mathbf{223.70}$      -0.30%            1,569.36 $\mathbf{1,383.13}$     +11.87%
GUSTAVO_A._MADERO                       28    $\mathbf{105}$     -4,461.03        110.11    $\mathbf{12,556.17}$               12,549.78      +0.05%            1,823.52 $\mathbf{1,278.80}$     +29.87%
IZTAPALAPA                               -    $\mathbf{197}$     -7,324.70        233.23                       -    $\mathbf{65,448.76}$           -                   -            2,142.99           -


python3 convertir_a_latex.py --file tabla_tiempos_drp.txt --rows 17 --cols 11 --pretty_first_col --sep " "

python3 calcular_HV_final.py --tipo cam --moead_subdir cam_final --bold_winners
